short_ema,long_ema,adx_period,adx_threshold,chop_period,chop_threshold,final_balance
9,21,,,,,1042.2766272077604
9,26,,,,,1040.9364087426363
9,30,,,,,1043.7830933028888
9,50,,,,,1051.3194068972814
9,100,,,,,1063.9433961194013
12,21,,,,,1041.7497844517522
12,26,,,,,1043.114758466465
12,30,,,,,1041.3689713220388
12,50,,,,,1060.089683139222
12,100,,,,,1062.104496457489
15,21,,,,,1037.9061285348128
15,26,,,,,1041.3309150533544
15,30,,,,,1048.908164515102
15,50,,,,,1069.2865681001783
15,100,,,,,1061.9718661587358
20,21,,,,,1048.7195472781505
20,26,,,,,1057.916823995441
20,30,,,,,1056.4640394472299
20,50,,,,,1075.809922810719
20,100,,,,,1069.246032600481
