short_ema,long_ema,adx_period,adx_threshold,chop_period,chop_threshold,final_balance
12,21,10,20,14,38,1013.0059086636531
12,21,10,20,14,50,1065.813072711531
12,21,10,20,14,62,1058.518226082483
12,21,10,20,20,38,963.0051310371414
12,21,10,20,20,50,1043.533903065
12,21,10,20,20,62,1060.2796527357768
12,21,10,20,28,38,1051.870479580106
12,21,10,20,28,50,1078.816262887113
12,21,10,20,28,62,1052.1028227072575
12,21,10,25,14,38,1011.53953349753
12,21,10,25,14,50,1031.5123337213288
12,21,10,25,14,62,1014.4462614824633
12,21,10,25,20,38,978.416065570632
12,21,10,25,20,50,1035.0078516311096
12,21,10,25,20,62,1023.8563508845041
12,21,10,25,28,38,1043.7440084946518
12,21,10,25,28,50,1074.0399193103367
12,21,10,25,28,62,1013.656167729471
12,21,10,30,14,38,1017.8051026953083
12,21,10,30,14,50,1071.4722755859648
12,21,10,30,14,62,1053.441770678799
12,21,10,30,20,38,983.0426566466589
12,21,10,30,20,50,1069.755973063232
12,21,10,30,20,62,1080.8087658590773
12,21,10,30,28,38,1040.453406114084
12,21,10,30,28,50,1092.4245805030355
12,21,10,30,28,62,1070.744942648399
12,21,10,50,14,38,1039.6723877946472
12,21,10,50,14,50,1049.0323440698035
12,21,10,50,14,62,1033.3511918567172
12,21,10,50,20,38,1049.8530469406003
12,21,10,50,20,50,1057.6312654794194
12,21,10,50,20,62,1032.1848671710134
12,21,10,50,28,38,1094.8027685420675
12,21,10,50,28,50,1054.5394507454157
12,21,10,50,28,62,1033.2906951520317
12,21,14,20,14,38,988.5175101005161
12,21,14,20,14,50,1078.6846024456115
12,21,14,20,14,62,1013.0302026548104
12,21,14,20,20,38,972.9890440288532
12,21,14,20,20,50,1058.6632559946677
12,21,14,20,20,62,1030.358832737415
12,21,14,20,28,38,1020.6282400730528
12,21,14,20,28,50,1053.8569190824537
12,21,14,20,28,62,1025.376574640676
12,21,14,25,14,38,990.6897322368757
12,21,14,25,14,50,1095.5191588116772
12,21,14,25,14,62,1023.4799572526654
12,21,14,25,20,38,1009.1765348124813
12,21,14,25,20,50,1080.5678050729925
12,21,14,25,20,62,1038.9657594168812
12,21,14,25,28,38,1057.8270908392544
12,21,14,25,28,50,1086.8200085913134
12,21,14,25,28,62,1033.7596645214323
12,21,14,30,14,38,995.5248732243305
12,21,14,30,14,50,1067.8319668586455
12,21,14,30,14,62,1082.9017548457728
12,21,14,30,20,38,1005.633447576123
12,21,14,30,20,50,1002.8174175502406
12,21,14,30,20,62,1074.6020441277396
12,21,14,30,28,38,1048.3517660195641
12,21,14,30,28,50,1047.3409564429792
12,21,14,30,28,62,1080.7158931624997
12,21,14,50,14,38,1011.7471348177023
12,21,14,50,14,50,1048.34298899639
12,21,14,50,14,62,1071.5694060800824
12,21,14,50,20,38,1017.1829803773089
12,21,14,50,20,50,1066.2006068072458
12,21,14,50,20,62,1071.1838257754935
12,21,14,50,28,38,1023.3851433492675
12,21,14,50,28,50,1087.6690664296584
12,21,14,50,28,62,1076.9574148413894
12,21,20,20,14,38,1035.117877765495
12,21,20,20,14,50,1043.7910342504767
12,21,20,20,14,62,993.2562769816508
12,21,20,20,20,38,978.9739145855339
12,21,20,20,20,50,1023.3520087676094
12,21,20,20,20,62,984.655154768567
12,21,20,20,28,38,988.4382299590756
12,21,20,20,28,50,1068.0270821547751
12,21,20,20,28,62,967.4843105107191
12,21,20,25,14,38,1048.7935473823056
12,21,20,25,14,50,1081.4809493416576
12,21,20,25,14,62,1022.068684934902
12,21,20,25,20,38,1042.7907284108333
12,21,20,25,20,50,1041.8306126928078
12,21,20,25,20,62,1033.1305878519581
12,21,20,25,28,38,979.679455582962
12,21,20,25,28,50,1078.7585683432521
12,21,20,25,28,62,1013.6305018663736
12,21,20,30,14,38,1019.2555178733321
12,21,20,30,14,50,1096.1603529123267
12,21,20,30,14,62,1066.7606862619452
12,21,20,30,20,38,1035.5332859182904
12,21,20,30,20,50,1055.9991998335743
12,21,20,30,20,62,1078.0428972670873
12,21,20,30,28,38,1054.087926641489
12,21,20,30,28,50,1060.3912492052136
12,21,20,30,28,62,1073.149005107047
12,21,20,50,14,38,1023.3236356473419
12,21,20,50,14,50,1014.5640256695149
12,21,20,50,14,62,1029.2393847726041
12,21,20,50,20,38,1022.2945433427518
12,21,20,50,20,50,1017.655232323594
12,21,20,50,20,62,1029.2393847726041
12,21,20,50,28,38,1000.5702048785819
12,21,20,50,28,50,1032.9778494443522
12,21,20,50,28,62,1029.2393847726041
12,26,10,20,14,38,1050.2900385232306
12,26,10,20,14,50,1068.5353214042696
12,26,10,20,14,62,1057.6312727608388
12,26,10,20,20,38,1059.0072667984434
12,26,10,20,20,50,1013.7443331611175
12,26,10,20,20,62,1063.3348064340628
12,26,10,20,28,38,1075.5516410532616
12,26,10,20,28,50,1054.9428164239366
12,26,10,20,28,62,1056.6925191184491
12,26,10,25,14,38,1062.9904330809602
12,26,10,25,14,50,1059.6923951489098
12,26,10,25,14,62,1036.902218676267
12,26,10,25,20,38,1087.2287150889556
12,26,10,25,20,50,1031.7963298215063
12,26,10,25,20,62,1037.9119123788287
12,26,10,25,28,38,1079.1265232631933
12,26,10,25,28,50,1053.2835602072394
12,26,10,25,28,62,1029.5725902941708
12,26,10,30,14,38,1037.73939723471
12,26,10,30,14,50,1088.6776291962535
12,26,10,30,14,62,1088.2984448826453
12,26,10,30,20,38,1079.1734205509042
12,26,10,30,20,50,1053.3856255369703
12,26,10,30,20,62,1095.2960608160843
12,26,10,30,28,38,1053.6346617602799
12,26,10,30,28,50,1112.5940848966447
12,26,10,30,28,62,1083.7252512553207
12,26,10,50,14,38,1046.7155397747515
12,26,10,50,14,50,1035.004632389
12,26,10,50,14,62,1026.2076419585503
12,26,10,50,20,38,1135.7235920480312
