short_ema,long_ema,adx_period,adx_threshold,chop_period,chop_threshold,final_balance
15,21,10,20,14,38,1018.2775905407476
15,21,10,20,14,50,1050.8216564716383
15,21,10,20,14,62,1036.1302089904646
15,21,10,20,20,38,1042.3232934542323
15,21,10,20,20,50,1026.3039088587295
15,21,10,20,20,62,1042.1975621976924
15,21,10,20,28,38,1090.9965030934013
15,21,10,20,28,50,1061.2571467950263
15,21,10,20,28,62,1038.8761567350962
15,21,10,25,14,38,993.2992187587427
15,21,10,25,14,50,1057.1121244917072
15,21,10,25,14,62,1017.5077275232794
15,21,10,25,20,38,1059.7336665949733
15,21,10,25,20,50,1053.3524292680859
15,21,10,25,20,62,1020.9884818228018
15,21,10,25,28,38,1086.2880694340838
15,21,10,25,28,50,1073.77654260777
15,21,10,25,28,62,1019.7449287417365
15,21,10,30,14,38,989.2294536170006
15,21,10,30,14,50,1070.717994902782
15,21,10,30,14,62,1062.321464120384
15,21,10,30,20,38,1080.3710153990428
15,21,10,30,20,50,1050.3736761402356
15,21,10,30,20,62,1079.1163290119148
15,21,10,30,28,38,1071.3529327477402
15,21,10,30,28,50,1108.6611833765257
15,21,10,30,28,62,1077.845701753021
15,21,10,50,14,38,1047.8201915104523
15,21,10,50,14,50,1060.4676048659073
15,21,10,50,14,62,1006.6678828477139
15,21,10,50,20,38,1175.0863226293245
15,21,10,50,20,50,1061.7234842838877
15,21,10,50,20,62,1019.2236689924083
15,21,10,50,28,38,1035.8715188828587
15,21,10,50,28,50,1041.0799865848355
15,21,10,50,28,62,1020.2092093773448
15,21,14,20,14,38,997.8837711975788
15,21,14,20,14,50,1064.2989608542127
15,21,14,20,14,62,1021.7743939408183
15,21,14,20,20,38,1053.6163418862682
15,21,14,20,20,50,1040.6957913451809
15,21,14,20,20,62,1028.8160310049423
15,21,14,20,28,38,1082.1624966207607
15,21,14,20,28,50,1044.2844885466793
15,21,14,20,28,62,1032.98388065422
15,21,14,25,14,38,973.9601702782751
15,21,14,25,14,50,1103.1381450812848
15,21,14,25,14,62,1054.7208829116616
15,21,14,25,20,38,1114.9662003872236
15,21,14,25,20,50,1076.5447831344043
15,21,14,25,20,62,1054.5274355916024
15,21,14,25,28,38,1077.1809220065288
15,21,14,25,28,50,1054.8452912078305
15,21,14,25,28,62,1060.740690434573
15,21,14,30,14,38,954.2982687170729
15,21,14,30,14,50,1097.2646200597605
15,21,14,30,14,62,1081.578903747439
15,21,14,30,20,38,1072.3683739712021
15,21,14,30,20,50,1065.167185855847
15,21,14,30,20,62,1080.1730909982248
15,21,14,30,28,38,1059.0926553745128
15,21,14,30,28,50,1048.9716900449423
15,21,14,30,28,62,1083.8748334449076
15,21,14,50,14,38,1003.8095080708574
15,21,14,50,14,50,1105.4400554627207
15,21,14,50,14,62,1106.6125899626088
15,21,14,50,20,38,1083.6828388666909
15,21,14,50,20,50,1121.0811510846456
15,21,14,50,20,62,1114.156163641328
15,21,14,50,28,38,1033.2890759472252
15,21,14,50,28,50,1123.1255188972127
15,21,14,50,28,62,1112.4653462112851
15,21,20,20,14,38,1023.6764670718621
15,21,20,20,14,50,1004.402611569919
15,21,20,20,14,62,976.680516562537
15,21,20,20,20,38,1064.0858311544478
15,21,20,20,20,50,999.2024210373213
15,21,20,20,20,62,972.8515880076701
15,21,20,20,28,38,1030.0364953552712
15,21,20,20,28,50,1033.8546558547278
15,21,20,20,28,62,961.389561206895
15,21,20,25,14,38,1038.8029013579512
15,21,20,25,14,50,1063.8204586387592
15,21,20,25,14,62,1007.3622604544113
15,21,20,25,20,38,1020.299620825666
15,21,20,25,20,50,1046.9671129887965
15,21,20,25,20,62,1011.7679458222246
15,21,20,25,28,38,981.5362261770742
15,21,20,25,28,50,1075.2317461283208
15,21,20,25,28,62,999.0920074610742
15,21,20,30,14,38,989.0494655357099
15,21,20,30,14,50,1072.2892610612382
15,21,20,30,14,62,1058.0836963693355
15,21,20,30,20,38,1087.060999582451
15,21,20,30,20,50,1074.119136562499
15,21,20,30,20,62,1059.2543282451481
15,21,20,30,28,38,1068.340529914586
15,21,20,30,28,50,1082.7810548447724
15,21,20,30,28,62,1061.8630334633563
15,21,20,50,14,38,1016.9378873964649
15,21,20,50,14,50,1040.787901722899
15,21,20,50,14,62,1065.6209371637326
15,21,20,50,20,38,1057.4795390297359
15,21,20,50,20,50,1053.9841777932722
15,21,20,50,20,62,1065.6209371637326
15,21,20,50,28,38,983.9562457199922
15,21,20,50,28,50,1082.3620116628372
15,21,20,50,28,62,1065.6209371637326
15,26,10,20,14,38,1038.7637505244338
15,26,10,20,14,50,1045.238669254341
15,26,10,20,14,62,1036.8742769034639
15,26,10,20,20,38,1029.0083616325865
15,26,10,20,20,50,1045.3121982599964
15,26,10,20,20,62,1045.060449018303
15,26,10,20,28,38,1076.9383321343164
15,26,10,20,28,50,1036.2295841574428
15,26,10,20,28,62,1039.6359279503413
15,26,10,25,14,38,1013.500118566447
15,26,10,25,14,50,1039.7931253229494
15,26,10,25,14,62,1027.0586619915152
15,26,10,25,20,38,1031.0433384459466
15,26,10,25,20,50,1051.2826195258694
15,26,10,25,20,62,1033.240224298337
15,26,10,25,28,38,1080.5757895913384
15,26,10,25,28,50,1026.7951232606886
15,26,10,25,28,62,1029.898038882088
15,26,10,30,14,38,1005.3354896493532
15,26,10,30,14,50,1023.8410553661579
15,26,10,30,14,62,1060.5255093240453
15,26,10,30,20,38,1042.4254437375291
15,26,10,30,20,50,1026.5996748172802
15,26,10,30,20,62,1069.8728158375613
15,26,10,30,28,38,1065.8602912662764
15,26,10,30,28,50,1027.2070005984642
15,26,10,30,28,62,1067.1681993908808
15,26,10,50,14,38,1054.615704475334
15,26,10,50,14,50,968.6911563656785
15,26,10,50,14,62,971.3262571526288
15,26,10,50,20,38,972.3869590578025
15,26,10,50,20,50,988.3024868454154
15,26,10,50,20,62,974.0764151018356
15,26,10,50,28,38,1087.604730249779
15,26,10,50,28,50,992.6347101454448
15,26,10,50,28,62,975.6971609183979
15,26,14,20,14,38,1020.7731901400274
15,26,14,20,14,50,1050.4558609910737
