short_ema,long_ema,adx_period,adx_threshold,chop_period,chop_threshold,final_balance
9,21,,,14,38,989.3016246485195
9,21,,,14,50,1067.1921970277772
9,21,,,14,62,1048.9203496087594
9,21,,,20,38,1023.1225261053129
9,21,,,20,50,1026.8083772302607
9,21,,,20,62,1047.4234566789714
9,21,,,28,38,1031.6806877176434
9,21,,,28,50,1054.0695859902064
9,21,,,28,62,1033.3872831458143
9,26,,,14,38,971.3653746849049
9,26,,,14,50,1060.307921153683
9,26,,,14,62,1036.9495683034263
9,26,,,20,38,983.4304468794036
9,26,,,20,50,1034.2543508974234
9,26,,,20,62,1052.53657335489
9,26,,,28,38,1044.0655284707154
9,26,,,28,50,1056.9871410548405
9,26,,,28,62,1029.8727869897864
9,30,,,14,38,976.7454738154303
9,30,,,14,50,1049.18178287842
9,30,,,14,62,1038.177956050186
9,30,,,20,38,1028.7701324834925
9,30,,,20,50,1005.6398695609741
9,30,,,20,62,1054.3911943889136
9,30,,,28,38,1043.789576363443
9,30,,,28,50,1060.002184354817
9,30,,,28,62,1036.3186216141048
9,50,,,14,38,992.904330116732
9,50,,,14,50,1096.5517259126889
9,50,,,14,62,1044.3815820117957
9,50,,,20,38,1017.9088889040493
9,50,,,20,50,990.8716199165237
9,50,,,20,62,1060.3814055975872
9,50,,,28,38,1116.158966714091
9,50,,,28,50,999.05201411575
9,50,,,28,62,1046.3370983594505
9,100,,,14,38,988.0903265362608
9,100,,,14,50,1089.4763977063033
9,100,,,14,62,1067.7354184114142
9,100,,,20,38,1006.4540366321381
9,100,,,20,50,1054.25467739556
9,100,,,20,62,1066.2833709130193
9,100,,,28,38,1022.9390121575298
9,100,,,28,50,1051.5628284544714
9,100,,,28,62,1059.70794482275
12,21,,,14,38,1014.6100390277684
12,21,,,14,50,1056.0906121501264
12,21,,,14,62,1039.7784889978313
12,21,,,20,38,966.4799857771504
12,21,,,20,50,1054.762206620652
12,21,,,20,62,1050.2775315477188
12,21,,,28,38,1042.278839535052
12,21,,,28,50,1061.0020117204708
12,21,,,28,62,1030.6714813339072
12,26,,,14,38,1045.8050227895494
12,26,,,14,50,1060.3579277854183
12,26,,,14,62,1045.493175910259
12,26,,,20,38,1057.1347790426707
12,26,,,20,50,1022.4869033426776
12,26,,,20,62,1050.1472231493879
12,26,,,28,38,1080.3073382794307
12,26,,,28,50,1054.4130776775282
12,26,,,28,62,1034.7012527529887
12,30,,,14,38,1060.2832787817777
12,30,,,14,50,1060.6541138133382
12,30,,,14,62,1040.7376656541016
12,30,,,20,38,995.8174228678292
12,30,,,20,50,1041.8659153070987
12,30,,,20,62,1042.696606781328
12,30,,,28,38,1082.7735418256364
12,30,,,28,50,1042.8059192148867
12,30,,,28,62,1033.095429357889
12,50,,,14,38,1010.1218919922377
12,50,,,14,50,1045.1962234385192
12,50,,,14,62,1057.827088934957
12,50,,,20,38,1004.7257581901636
12,50,,,20,50,1033.2530903227494
12,50,,,20,62,1062.9790476555054
12,50,,,28,38,1011.5512119048863
12,50,,,28,50,1032.0664422806294
12,50,,,28,62,1062.718681189127
12,100,,,14,38,1069.726951703751
12,100,,,14,50,1085.0068827771668
12,100,,,14,62,1063.4226953382404
12,100,,,20,38,1058.849361404321
12,100,,,20,50,1079.9385976402111
12,100,,,20,62,1073.109143773613
12,100,,,28,38,1088.2560123550975
12,100,,,28,50,1067.1758129091081
12,100,,,28,62,1060.8375675399996
15,21,,,14,38,1016.5616603882006
15,21,,,14,50,1053.4983835028472
15,21,,,14,62,1036.3509815833982
15,21,,,20,38,1044.2505412651058
15,21,,,20,50,1038.909751913634
15,21,,,20,62,1037.2090377182049
15,21,,,28,38,1092.7723193835036
15,21,,,28,50,1065.6174432971852
15,21,,,28,62,1029.8338280783087
15,26,,,14,38,1043.5497817787023
15,26,,,14,50,1048.3549827686836
15,26,,,14,62,1037.4885093982975
15,26,,,20,38,1027.42236871563
15,26,,,20,50,1053.8272546898916
15,26,,,20,62,1046.0823665792275
15,26,,,28,38,1070.8308433548293
15,26,,,28,50,1040.1197562983798
15,26,,,28,62,1033.7061456842325
15,30,,,14,38,1128.2811372204703
15,30,,,14,50,1063.7638663261416
15,30,,,14,62,1045.9344220350756
15,30,,,20,38,1000.1604331129296
15,30,,,20,50,1054.7050514169123
15,30,,,20,62,1046.7207314348993
15,30,,,28,38,1070.4349320616554
15,30,,,28,50,1053.0708427359891
15,30,,,28,62,1038.579760698447
15,50,,,14,38,1042.4175152084601
15,50,,,14,50,1068.3160630987736
15,50,,,14,62,1073.7967500537575
15,50,,,20,38,1039.5362966455687
15,50,,,20,50,1048.7531223884273
15,50,,,20,62,1074.20938571748
