short_ema,long_ema,adx_period,adx_threshold,chop_period,chop_threshold,final_balance
20,21,10,20,14,38,1062.6506349272674
20,21,10,20,14,50,1053.87366108529
20,21,10,20,14,62,1040.0040896926166
20,21,10,20,20,38,985.9961103932959
20,21,10,20,20,50,1062.7823366090406
20,21,10,20,20,62,1046.5633556212529
20,21,10,20,28,38,1074.4644706696824
20,21,10,20,28,50,1035.3277176327247
20,21,10,20,28,62,1035.0141162242944
20,21,10,25,14,38,1047.532886466864
20,21,10,25,14,50,1067.5867599594233
20,21,10,25,14,62,1046.408863201325
20,21,10,25,20,38,988.1721940878555
20,21,10,25,20,50,1068.1764481139753
20,21,10,25,20,62,1044.1634429851058
20,21,10,25,28,38,1081.1500039839377
20,21,10,25,28,50,1046.7563959510799
20,21,10,25,28,62,1045.8651916095828
20,21,10,30,14,38,1019.974206790582
20,21,10,30,14,50,1036.6237903083493
20,21,10,30,14,62,1070.5482816339304
20,21,10,30,20,38,988.242611848654
20,21,10,30,20,50,1050.540046170356
20,21,10,30,20,62,1081.1712142318954
20,21,10,30,28,38,1069.983990759661
20,21,10,30,28,50,1044.5138329244119
20,21,10,30,28,62,1078.3517082878207
20,21,10,50,14,38,1032.822628640552
20,21,10,50,14,50,991.5044541586993
20,21,10,50,14,62,997.4288629660512
20,21,10,50,20,38,954.461787319093
20,21,10,50,20,50,1010.4931009885903
20,21,10,50,20,62,999.5523313781312
20,21,10,50,28,38,1043.809655012151
20,21,10,50,28,50,1009.6882122878619
20,21,10,50,28,62,1001.1317560383272
20,21,14,20,14,38,1060.7224644622913
20,21,14,20,14,50,1068.863230214963
20,21,14,20,14,62,1064.5922129346648
20,21,14,20,20,38,998.9595533421375
20,21,14,20,20,50,1079.3997136429339
20,21,14,20,20,62,1069.0228922244116
20,21,14,20,28,38,1069.1816412999235
20,21,14,20,28,50,1020.8238672124031
20,21,14,20,28,62,1061.1320501709586
20,21,14,25,14,38,1007.7732354960849
20,21,14,25,14,50,1057.5650935244626
20,21,14,25,14,62,1046.8443416265654
20,21,14,25,20,38,1003.3583105489175
20,21,14,25,20,50,1114.0714669410343
20,21,14,25,20,62,1053.924616717854
20,21,14,25,28,38,1107.1124981356602
20,21,14,25,28,50,1039.850775480369
20,21,14,25,28,62,1053.8047674732084
20,21,14,30,14,38,995.8256629134655
20,21,14,30,14,50,1024.0106749261133
20,21,14,30,14,62,1001.8652163350625
20,21,14,30,20,38,933.5245856618213
20,21,14,30,20,50,1088.3875637000529
20,21,14,30,20,62,1012.6540171850675
20,21,14,30,28,38,1104.1090291845644
20,21,14,30,28,50,1054.0264945715176
20,21,14,30,28,62,1015.9489003131924
20,21,14,50,14,38,969.504974976694
20,21,14,50,14,50,1009.8694763643902
20,21,14,50,14,62,1031.178722539565
20,21,14,50,20,38,1051.4912492293813
20,21,14,50,20,50,1014.4144749845354
20,21,14,50,20,62,1024.4622913537844
20,21,14,50,28,38,1024.4785089633115
20,21,14,50,28,50,1022.5291496388376
20,21,14,50,28,62,1032.2028838844376
20,21,20,20,14,38,1033.2115931744086
20,21,20,20,14,50,1012.3598638851727
20,21,20,20,14,62,977.8595721153318
20,21,20,20,20,38,991.7360348713437
20,21,20,20,20,50,1002.3727116544919
20,21,20,20,20,62,985.2578251403141
20,21,20,20,28,38,1052.2141572245687
20,21,20,20,28,50,1019.2962300957192
20,21,20,20,28,62,973.2714131225046
20,21,20,25,14,38,1035.3633867146227
20,21,20,25,14,50,1057.0531709649883
20,21,20,25,14,62,1024.3701211495054
20,21,20,25,20,38,960.9149981173134
20,21,20,25,20,50,1075.2326461294895
20,21,20,25,20,62,1034.4428810515583
20,21,20,25,28,38,1027.1801801266072
20,21,20,25,28,50,1052.4991413625253
20,21,20,25,28,62,1028.747486343686
20,21,20,30,14,38,1005.5107924770175
20,21,20,30,14,50,1072.3203564142323
20,21,20,30,14,62,1021.2734316574742
20,21,20,30,20,38,1035.0666280660037
20,21,20,30,20,50,1045.785399015283
20,21,20,30,20,62,1025.7394405998448
20,21,20,30,28,38,1042.4588753511637
20,21,20,30,28,50,1049.8236577427
20,21,20,30,28,62,1025.1371555323376
20,21,20,50,14,38,1214.5026916646175
20,21,20,50,14,50,1141.6815519955658
20,21,20,50,14,62,1155.7924177403265
20,21,20,50,20,38,1136.906492755322
20,21,20,50,20,50,1130.1658389510299
20,21,20,50,20,62,1159.8539664943412
20,21,20,50,28,38,1139.7149060173601
20,21,20,50,28,50,1135.8921257759366
20,21,20,50,28,62,1159.8539664943412
20,26,10,20,14,38,1049.9575581672125
20,26,10,20,14,50,1121.987536511051
20,26,10,20,14,62,1074.588498598471
20,26,10,20,20,38,987.7880030841666
20,26,10,20,20,50,1090.4712958402615
20,26,10,20,20,62,1075.3919488768245
20,26,10,20,28,38,1054.536248513697
20,26,10,20,28,50,1058.8513702641412
20,26,10,20,28,62,1063.569169251882
20,26,10,25,14,38,1066.244757259581
20,26,10,25,14,50,1086.7535018299618
20,26,10,25,14,62,1060.692360160936
20,26,10,25,20,38,964.6607950321427
20,26,10,25,20,50,1061.458085931666
20,26,10,25,20,62,1061.6280492956168
20,26,10,25,28,38,1055.4294073030928
20,26,10,25,28,50,1066.938271172748
20,26,10,25,28,62,1054.7222319632635
20,26,10,30,14,38,1054.6332548364471
20,26,10,30,14,50,1066.4383322127333
20,26,10,30,14,62,1083.056958173004
20,26,10,30,20,38,936.9887322695024
20,26,10,30,20,50,1052.5598180579984
20,26,10,30,20,62,1078.677674779189
20,26,10,30,28,38,1057.5056669397395
20,26,10,30,28,50,1061.8504385779677
20,26,10,30,28,62,1080.0979550333957
20,26,10,50,14,38,1026.315082003643
